Wall time,Step,Value
1686548862.0451372,108,11.455334663391113
1686548889.0451965,173,9.153424263000488
1686548917.8196776,245,8.077399253845215
1686548923.8663685,260,8.004247665405273
1686548983.551519,403,7.9811110496521
1686549009.6782706,466,8.127427101135254
1686549028.3259556,511,8.235357284545898
1686549038.9350061,539,8.308812141418457
1686549046.7073305,557,8.35268783569336
1686549063.4005227,597,8.429936408996582
1686549088.8794572,659,8.602423667907715
1686549132.9711685,765,8.815570831298828
1686549149.68913,805,8.875640869140625
1686549176.016042,867,8.98755168914795
1686549184.211015,887,9.02725887298584
1686549242.5763087,1016,9.201436042785645
1686549246.9291363,1027,9.228606224060059
1686549251.1576648,1038,9.246525764465332
1686549288.4826488,1126,9.42095947265625
1686549290.9730823,1133,9.444629669189453
1686549303.6548483,1165,9.506451606750488
1686549309.2725475,1177,9.518356323242188
1686549311.944737,1185,9.53461742401123
1686549341.0158691,1253,9.665336608886719
1686549341.4111733,1255,9.672672271728516
1686549349.267593,1272,9.692057609558105
1686549392.58048,1377,9.885970115661621
1686549409.429606,1418,9.979201316833496
1686549426.1603072,1459,10.062959671020508
1686549440.8896587,1495,10.142537117004395
1686549448.2064226,1511,10.154407501220703
1686549448.7696443,1514,10.170913696289062
1686549463.1822212,1549,10.236069679260254
1686549471.1148946,1566,10.268741607666016
1686549515.302679,1671,10.495467185974121
1686549629.1324234,1941,10.998502731323242
1686549637.3857477,1961,11.008075714111328
1686549637.5734916,1962,11.008971214294434
1686549812.1429706,2360,11.613530158996582
1686549844.6336622,2437,11.746705055236816
1686549846.6324186,2442,11.758696556091309
1686549855.3035572,2463,11.791431427001953
1686549856.9560714,2466,11.793134689331055
1686549872.2933793,2504,11.834229469299316
1686549904.2017484,2578,11.933151245117188
1686549929.098647,2636,12.06493091583252
1686549931.7332258,2644,12.083459854125977
1686549948.5710094,2685,12.155038833618164
1686549952.5956755,2694,12.171783447265625
1686549958.8329268,2709,12.18769645690918
1686549962.8617098,2718,12.191560745239258
1686549984.0863574,2769,12.280807495117188
1686549991.8456483,2786,12.324033737182617
1686550015.477537,2845,12.482491493225098
1686550070.6292582,2974,12.668817520141602
1686550121.0322187,3084,12.783093452453613
1686550129.412138,3105,12.834714889526367
1686550130.7326531,3106,12.833956718444824
1686550147.3376834,3146,12.850313186645508
1686550169.2222073,3200,12.952736854553223
1686550177.115174,3218,12.980170249938965
1686550187.3753593,3242,13.00620174407959
1686550197.7356818,3266,13.021394729614258
1686550198.3174787,3269,13.029025077819824
1686550235.8399398,3357,13.105420112609863
1686550256.2001226,3405,13.174371719360352
1686550288.668582,3484,13.29287338256836
1686550296.573981,3501,13.312955856323242
1686550307.2069576,3527,13.35638427734375
1686550323.5438228,3567,13.407783508300781
1686550337.7967021,3601,13.469707489013672
1686550344.0779955,3617,13.47849178314209
1686550358.90148,3655,13.519515037536621
1686550364.7768285,3669,13.54532527923584
1686550366.3932352,3672,13.55090618133545
1686550383.3921254,3713,13.603043556213379
1686550412.483598,3783,13.67548656463623
1686550439.063369,3849,13.767719268798828
1686550468.5419984,3916,13.880216598510742
1686550512.6559188,4013,13.968547821044922
1686550517.4520953,4024,13.980504035949707
1686550553.0792816,4110,14.14536190032959
1686550558.6933331,4122,14.162224769592285
1686550583.7087815,4182,14.23707389831543
1686550587.9687977,4193,14.246700286865234
1686550602.7634203,4228,14.275596618652344
1686550639.8735588,4319,14.374015808105469
1686550643.9413104,4329,14.394038200378418
1686550731.8838696,4540,14.646321296691895
1686550742.8263032,4565,14.650385856628418
1686550778.2883582,4650,14.737143516540527
1686550796.7789717,4691,14.77892017364502
1686550856.347382,4833,14.874810218811035
1686550858.2028487,4837,14.88113021850586
1686550877.1292307,4883,14.88393497467041
1686550964.2657855,5080,15.002126693725586
1686550968.2386205,5089,15.006481170654297
