Wall time,Step,Value
1686547030.180015,108,29.96087646484375
1686547131.2636545,173,24.5831356048584
1686547243.147402,245,21.649009704589844
1686547265.9413965,260,21.406036376953125
1686547482.3707101,403,21.94984245300293
1686547576.8852105,466,22.690092086791992
1686547643.4487746,511,23.28316307067871
1686547682.8178403,539,23.66550064086914
1686547710.865532,557,23.8782958984375
1686547769.680317,597,24.340572357177734
1686547859.8892508,659,24.965822219848633
1686548014.9647586,765,25.79977035522461
1686548074.3598046,805,26.095075607299805
1686548167.6345477,867,26.53228187561035
1686548197.4073815,887,26.62987518310547
1686548405.2247288,1016,27.18574333190918
1686548421.9062877,1027,27.224594116210938
1686548437.41256,1038,27.27858543395996
1686548569.0548782,1126,27.655609130859375
1686548578.064913,1133,27.667917251586914
1686548624.0544755,1165,27.728797912597656
1686548644.0152705,1177,27.730913162231445
1686548653.9207156,1185,27.750343322753906
1686548754.8569694,1253,27.929712295532227
1686548756.6073403,1255,27.932498931884766
1686548783.8269744,1272,27.965530395507812
1686548938.9056363,1377,28.097490310668945
1686549000.4752097,1418,28.221296310424805
1686549060.936719,1459,28.33639144897461
1686549113.4749427,1495,28.395347595214844
1686549139.6936011,1511,28.400548934936523
1686549142.2507951,1514,28.39860725402832
1686549193.4966924,1549,28.394824981689453
1686549220.3617992,1566,28.42768669128418
1686549374.567072,1671,28.703859329223633
1686549773.891686,1941,29.31189727783203
1686549803.5148249,1961,29.353042602539062
1686549804.3381343,1962,29.367605209350586
1686550407.524624,2360,30.287878036499023
1686550523.3169203,2437,30.544641494750977
1686550530.819287,2442,30.548749923706055
1686550561.201321,2463,30.64336585998535
1686550566.881759,2466,30.657461166381836
1686550621.1914878,2504,30.780826568603516
1686550730.903516,2578,31.169248580932617
1686550818.466778,2636,31.436614990234375
1686550828.3102374,2644,31.451740264892578
1686550888.828012,2685,31.55752182006836
1686550902.4561222,2694,31.58847999572754
1686550924.583081,2709,31.630598068237305
1686550938.438852,2718,31.670211791992188
1686551013.4362283,2769,31.88746452331543
1686551040.8044827,2786,31.962608337402344
1686551125.7226434,2845,32.2916145324707
1686551316.052206,2974,32.791927337646484
1686551493.7979069,3084,33.407447814941406
1686551524.07419,3105,33.53872299194336
1686551528.1755817,3106,33.54555892944336
1686551585.6328065,3146,33.745201110839844
1686551662.5498266,3200,34.017879486083984
1686551689.756337,3218,34.15195846557617
1686551726.2307384,3242,34.29547882080078
1686551762.081301,3266,34.47365188598633
1686551764.6074998,3269,34.509735107421875
1686551895.1824846,3357,35.08071517944336
1686551963.644615,3405,35.25360870361328
1686552079.748153,3484,35.86190414428711
1686552106.8597822,3501,35.96754455566406
1686552143.6905682,3527,36.091148376464844
1686552202.2246926,3567,36.32541275024414
1686552252.080048,3601,36.558189392089844
1686552275.0151052,3617,36.66918182373047
1686552327.8061264,3655,36.94026565551758
1686552349.0051072,3669,37.042964935302734
1686552354.5603304,3672,37.077171325683594
1686552413.411347,3713,37.249637603759766
1686552515.241684,3783,37.78392028808594
1686552610.9384174,3849,38.18064498901367
1686552710.809962,3916,38.6417236328125
1686552867.3739064,4013,39.248016357421875
1686552882.9917874,4024,39.33082962036133
1686553007.4831457,4110,39.88450241088867
1686553027.0998313,4122,39.93384552001953
1686553114.4992044,4182,40.13212203979492
1686553129.7683039,4193,40.23627471923828
1686553181.064059,4228,40.419193267822266
1686553312.7413297,4319,41.08660125732422
1686553327.6311703,4329,41.15009307861328
1686553634.6929557,4540,42.275177001953125
1686553670.8497968,4565,42.4190788269043
1686553793.8347476,4650,42.84658432006836
1686553856.045321,4691,42.93801498413086
1686554062.3867068,4833,43.60337829589844
1686554068.9419932,4837,43.59885025024414
1686554136.1885598,4883,43.79724884033203
1686554436.5210545,5080,44.740089416503906
1686554450.476562,5089,44.765594482421875
1686554455.1986468,5091,44.76519012451172
1686554514.813907,5133,44.82326889038086
1686554521.1538203,5137,44.81326675415039
1686554549.7388184,5156,44.89262008666992
1686554595.1986413,5188,45.07477951049805
1686554615.2476501,5201,45.19951248168945
1686554651.8567958,5226,45.314109802246094
1686554704.7874622,5263,45.52778625488281
1686554754.6537318,5296,45.628055572509766
1686554851.3893912,5363,45.75203323364258
1686554911.0148015,5404,45.88816452026367
1686554984.4868884,5455,46.00940704345703
1686555297.4384892,5668,46.41078567504883
1686555430.5395906,5759,46.615234375
1686555539.3313973,5833,46.67253494262695
1686555589.2246778,5867,46.76045608520508
1686555606.501664,5880,46.779083251953125
1686555721.1588056,5957,46.83367919921875
1686555757.8271828,5982,46.832977294921875
1686555780.5014322,5998,46.81523895263672
1686555876.5576656,6054,46.87611389160156
