Wall time,Step,Value
1686109751.0861616,108,8.839608192443848
1686109789.9829867,173,6.832955837249756
1686109834.177339,245,5.805722713470459
1686109843.482282,260,5.729049205780029
1686109935.4919934,403,5.561336994171143
1686109977.6905546,466,5.659343242645264
1686110006.976619,511,5.714247703552246
1686110023.3019214,539,5.739875316619873
1686110035.6356926,557,5.7447285652160645
1686110062.0054326,597,5.779938220977783
1686110100.8477578,659,5.817609786987305
1686110168.7109194,765,5.912482261657715
1686110194.9762175,805,5.968679428100586
1686110236.5334945,867,6.043307304382324
1686110248.9047801,887,6.053586959838867
1686110342.9500177,1016,6.143449306488037
1686110349.4143784,1027,6.15178918838501
1686110355.95548,1038,6.1582350730896
1686110413.5000062,1126,6.192502498626709
1686110417.0523984,1133,6.19527006149292
1686110436.5063205,1165,6.229613304138184
1686110445.46381,1177,6.233396053314209
1686110449.1541324,1185,6.236495018005371
1686110493.8429198,1253,6.287999629974365
1686110494.2093985,1255,6.288647651672363
1686110506.3809342,1272,6.318678379058838
1686110575.1513822,1377,6.418832302093506
1686110600.9274268,1418,6.450832366943359
1686110626.686583,1459,6.483681678771973
1686110649.2663186,1495,6.4907307624816895
1686110661.0815225,1511,6.503046035766602
1686110661.6423347,1514,6.511945724487305
1686110683.9329712,1549,6.553482532501221
1686110696.0859537,1566,6.572818756103516
1686110763.2613773,1671,6.62930154800415
1686110936.8659499,1941,6.787203788757324
1686110949.6097522,1961,6.805880069732666
1686110949.797276,1962,6.806373596191406
1686111217.908655,2360,6.9412384033203125
1686111268.5964563,2437,6.973443508148193
1686111271.7365332,2442,6.977603435516357
1686111284.6914775,2463,6.978634357452393
1686111287.5195827,2466,6.977761745452881
1686111310.7010887,2504,6.993426322937012
1686111357.7692935,2578,7.035340309143066
1686111395.9117422,2636,7.048811912536621
1686111399.5600762,2644,7.048295497894287
1686111425.1893241,2685,7.036727428436279
1686111431.4873657,2694,7.030444145202637
1686111441.35749,2709,7.023824691772461
1686111447.5658476,2718,7.02324914932251
1686111480.1726677,2769,7.015130043029785
1686111492.5902402,2786,7.021573066711426
1686111528.7966497,2845,7.048498630523682
1686111612.2799234,2974,7.092014789581299
1686111695.785828,3084,7.124540328979492
1686111708.5882437,3105,7.114695072174072
1686111711.06324,3106,7.114452362060547
1686111737.578633,3146,7.152822971343994
1686111770.720427,3200,7.1811652183532715
1686111783.1178384,3218,7.1945648193359375
1686111799.0891106,3242,7.208878040313721
1686111814.8599658,3266,7.22329044342041
1686111815.4719753,3269,7.220622539520264
1686111874.2204843,3357,7.228173732757568
1686111904.3119004,3405,7.259444236755371
1686111955.053353,3484,7.285411834716797
1686111967.6036747,3501,7.289705753326416
1686111983.7520132,3527,7.29535436630249
1686112009.760583,3567,7.294282913208008
1686112032.6884673,3601,7.289499759674072
1686112042.6666436,3617,7.28765344619751
1686112065.9221423,3655,7.299073696136475
1686112075.4950602,3669,7.309549331665039
1686112078.2341065,3672,7.309781551361084
1686112106.3379595,3713,7.330121994018555
1686112151.226411,3783,7.364496231079102
1686112193.2963393,3849,7.385064125061035
1686112238.5431023,3916,7.4000725746154785
1686112311.645993,4013,7.466250896453857
1686112318.2617955,4024,7.46879243850708
1686112374.169062,4110,7.461410045623779
1686112383.2602277,4122,7.466643810272217
1686112421.549792,4182,7.493865966796875
1686112428.0139601,4193,7.499128341674805
1686112450.5518138,4228,7.5228400230407715
1686112508.7450893,4319,7.5496134757995605
1686112515.125975,4329,7.5475993156433105
1686112651.0605385,4540,7.618624687194824
1686112667.5939925,4565,7.631723403930664
1686112722.0231209,4650,7.665933132171631
1686112750.9256327,4691,7.672975540161133
1686112841.496385,4833,7.726462364196777
1686112844.528461,4837,7.732193946838379
1686112873.503665,4883,7.732443809509277
1686113013.5452306,5080,7.801700115203857
1686113020.0523121,5089,7.8101091384887695
1686113022.6203485,5091,7.8079833984375
1686113048.837923,5133,7.8204426765441895
1686113052.1362875,5137,7.8224406242370605
1686113065.037087,5156,7.823349952697754
1686113084.644077,5188,7.818397521972656
1686113093.8767657,5201,7.822692394256592
1686113109.8869798,5226,7.836455821990967
1686113132.7146482,5263,7.829273223876953
1686113154.2319045,5296,7.858285427093506
1686113198.7352488,5363,7.850820064544678
1686113225.095886,5404,7.869725227355957
1686113257.5021846,5455,7.90720796585083
1686113395.038231,5668,7.968600749969482
1686113452.7631505,5759,7.987188339233398
1686113501.5099022,5833,7.984409809112549
1686113524.04972,5867,8.000337600708008
1686113531.0065057,5880,8.013190269470215
1686113582.540031,5957,8.003702163696289
1686113598.2427807,5982,8.01446533203125
1686113608.1624675,5998,8.022674560546875
1686113654.0872452,6054,8.059597969055176
1686113692.1162546,6112,8.082697868347168
1686113708.9906538,6139,8.085917472839355
1686113712.0575314,6143,8.08944034576416
1686113767.389795,6226,8.107508659362793
1686113777.5583615,6244,8.120378494262695
1686113801.092036,6280,8.128585815429688
1686113835.8281982,6333,8.150713920593262
